tissue,supertype_label,supertype_name,program_index,program_id,top_term,top_category,top_pvalue,enrichment_score_cluster1,n_terms_p05,status,program_label
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,0,P0,COMPBIAS:Basic and acidic residues,UP_SEQ_FEATURE,8.8431918103546e-4,1.6443103424033283,11,ok,P0 · COMPBIAS:Basic and acidic residues
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,1,P1,CARBOHYD:N-linked (GlcNAc...) asparagine,UP_SEQ_FEATURE,1.4030887826718e-4,2.245896410660378,58,ok,P1 · CARBOHYD:N-linked (GlcNAc...) asparagine
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,2,P2,Cytoplasm,UP_KW_CELLULAR_COMPONENT,0.09213582236742106,0.6495426178100595,0,ok,P2 · Cytoplasm
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,3,P3,roof of mouth development,GOTERM_BP_DIRECT,0.00196086808293694,0.7549137184543991,2,ok,P3 · roof of mouth development
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,4,P4,IPR013098:Ig_I-set,INTERPRO,2.2536026051026e-4,2.120037645982013,42,ok,P4 · IPR013098:Ig_I-set
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,5,P5,COMPBIAS:Low complexity,UP_SEQ_FEATURE,0.00783117249199718,1.1854171401253564,5,ok,P5 · COMPBIAS:Low complexity
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,6,P6,cytoplasm,GOTERM_CC_DIRECT,2.8858846352447e-4,2.461916833845733,5,ok,P6 · cytoplasm
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,7,P7,CARBOHYD:N-linked (GlcNAc...) asparagine,UP_SEQ_FEATURE,0.00340624430532544,0.918066221239191,3,ok,P7 · CARBOHYD:N-linked (GlcNAc...) asparagine
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,8,P8,nvs05202:Transcriptional misregulation in cancer,KEGG_PATHWAY,0.00179295325911192,1.6314443358182378,3,ok,P8 · nvs05202:Transcriptional misregulatio...
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,9,P9,TOPO_DOM:Extracellular,UP_SEQ_FEATURE,0.1787662874137116,0.426410127345008,0,ok,P9 · TOPO_DOM:Extracellular
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,10,P10,MOTIF:Cell attachment site,UP_SEQ_FEATURE,0.0016445740386125,0.9139193297503476,3,ok,P10 · MOTIF:Cell attachment site
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,11,P11,CARBOHYD:N-linked (GlcNAc...) asparagine,UP_SEQ_FEATURE,3.9585366671555906e-5,2.1828790689981408,29,ok,P11 · CARBOHYD:N-linked (GlcNAc...) asparagine
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,12,P12,cell surface,GOTERM_CC_DIRECT,0.00906838566695854,1.1609199310196563,13,ok,P12 · cell surface
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,13,P13,plasma membrane,GOTERM_CC_DIRECT,0.00334562092894862,1.469493787820103,9,ok,P13 · plasma membrane
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,14,P14,cellular_component,GOTERM_CC_DIRECT,0.02961912276966947,1.0549352566931651,1,ok,P14 · cellular_component
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,15,P15,positive regulation of synapse assembly,GOTERM_BP_DIRECT,7.594125564490513e-5,2.0046352946914525,10,ok,P15 · positive regulation of synapse assembly
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,16,P16,Membrane,UP_KW_CELLULAR_COMPONENT,8.963691905427436e-5,1.4101098234220664,12,ok,P16 · Membrane
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,17,P17,cell surface,GOTERM_CC_DIRECT,1.498584259461e-4,2.434307121876418,21,ok,P17 · cell surface
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,18,P18,cytoplasm,GOTERM_CC_DIRECT,0.07879903494173893,0.6467711960990615,0,ok,P18 · cytoplasm
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,19,P19,cytoplasm,GOTERM_CC_DIRECT,0.34313882458219347,0.3034063130664922,0,ok,P19 · cytoplasm
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,0,P0,Membrane,UP_KW_CELLULAR_COMPONENT,0.07891718057706194,0.5929656643014465,0,ok,P0 · Membrane
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,1,P1,Calcium,UP_KW_LIGAND,0.00364883131612777,1.4823858670807335,11,ok,P1 · Calcium
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,2,P2,plasma membrane,GOTERM_CC_DIRECT,0.01850798825417858,1.0970908755632898,4,ok,P2 · plasma membrane
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,3,P3,IPR003598:Ig_sub2,INTERPRO,1.1945872232553926e-5,2.025015836581224,25,ok,P3 · IPR003598:Ig_sub2
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,4,P4,mmu04218:Cellular senescence,KEGG_PATHWAY,0.00253723065156592,1.334366487215716,11,ok,P4 · mmu04218:Cellular senescence
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,5,P5,Palmitate,UP_KW_PTM,2.3029059458439e-4,1.0835574985141818,8,ok,P5 · Palmitate
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,6,P6,Glycoprotein,UP_KW_PTM,3.0055207083176e-4,1.938753479122586,14,ok,P6 · Glycoprotein
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,7,P7,TRANSMEM:Helical,UP_SEQ_FEATURE,0.44535159072523617,0.22540242247778433,0,ok,P7 · TRANSMEM:Helical
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,8,P8,vasculogenesis,GOTERM_BP_DIRECT,1.0903853931645027e-5,1.3729678337809448,11,ok,P8 · vasculogenesis
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,9,P9,mmu05135:Yersinia infection,KEGG_PATHWAY,0.00394029280904868,2.1405654451482987,4,ok,P9 · mmu05135:Yersinia infection
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,10,P10,CARBOHYD:N-linked (GlcNAc...) asparagine,UP_SEQ_FEATURE,1.6068194259356e-4,2.818692859899335,11,ok,P10 · CARBOHYD:N-linked (GlcNAc...) asparagine
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,11,P11,mmu04144:Endocytosis,KEGG_PATHWAY,0.00103571993751934,1.3662277334499966,4,ok,P11 · mmu04144:Endocytosis
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,12,P12,TRANSMEM:Helical,UP_SEQ_FEATURE,0.12453702405755164,0.4126052694924636,0,ok,P12 · TRANSMEM:Helical
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,13,P13,positive regulation of defense response to virus by host,GOTERM_BP_DIRECT,3.309126714773e-4,1.14577472699061,6,ok,P13 · positive regulation of defense respon...
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,14,P14,COMPBIAS:Low complexity,UP_SEQ_FEATURE,0.05875245892465799,0.9440798391845724,0,ok,P14 · COMPBIAS:Low complexity
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,15,P15,mmu04080:Neuroactive ligand-receptor interaction,KEGG_PATHWAY,0.01059338180495488,1.2311733261146576,7,ok,P15 · mmu04080:Neuroactive ligand-receptor ...
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,16,P16,membrane,GOTERM_CC_DIRECT,0.05068679562163448,0.7743179881848797,0,ok,P16 · membrane
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,17,P17,Ion channel,UP_KW_MOLECULAR_FUNCTION,0.00652308755203158,0.7243868254018709,3,ok,P17 · Ion channel
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,18,P18,IPR011993:PH-like_dom_sf,INTERPRO,0.01184643599195193,1.2886203131331129,2,ok,P18 · IPR011993:PH-like_dom_sf
AMY,CS20230722_SUPT_0003,0003 IT EP-CLA Glut_1,19,P19,IPR013098:Ig_I-set,INTERPRO,0.0047754215824429,1.9012844552244603,19,ok,P19 · IPR013098:Ig_I-set
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,0,P0,IPR050402:OR51/52/56-like,INTERPRO,0.00361547194587499,0.8864475022286148,3,ok,P0 · IPR050402:OR51/52/56-like
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,1,P1,glutamatergic synapse,GOTERM_CC_DIRECT,0.00111046248731672,1.41003107970648,10,ok,P1 · glutamatergic synapse
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,2,P2,excitatory synapse assembly,GOTERM_BP_DIRECT,5.1826757200606776e-5,1.2567971307362231,12,ok,P2 · excitatory synapse assembly
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,3,P3,neuronal cell body,GOTERM_CC_DIRECT,7.9683112005454e-4,1.0926465564079897,3,ok,P3 · neuronal cell body
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,4,P4,ZN_FING:C2H2-type 1,UP_SEQ_FEATURE,9.0280368264063e-4,1.8713345294249113,20,ok,P4 · ZN_FING:C2H2-type 1
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,5,P5,Disulfide bond,UP_KW_PTM,0.1131157351118086,0.4857951086863614,0,ok,P5 · Disulfide bond
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,6,P6,IPR009030:Growth_fac_rcpt_cys_sf,INTERPRO,0.00199908920588023,1.7534146349156647,8,ok,P6 · IPR009030:Growth_fac_rcpt_cys_sf
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,7,P7,COMPBIAS:Low complexity,UP_SEQ_FEATURE,0.03826018056811254,0.6769505989001694,1,ok,P7 · COMPBIAS:Low complexity
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,8,P8,DOMAIN:Ig-like C2-type 3,UP_SEQ_FEATURE,2.2900561635153e-4,2.0081317891800854,37,ok,P8 · DOMAIN:Ig-like C2-type 3
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,9,P9,nucleus,GOTERM_CC_DIRECT,0.04872075341987787,0.5937598841468273,1,ok,P9 · nucleus
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,10,P10,Metal-binding,UP_KW_LIGAND,0.08356047899318073,0.7796732723890651,0,ok,P10 · Metal-binding
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,11,P11,Extracellular matrix,UP_KW_CELLULAR_COMPONENT,3.0659012191846e-4,2.4449353892596823,16,ok,P11 · Extracellular matrix
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,12,P12,Membrane,UP_KW_CELLULAR_COMPONENT,0.0251745177995419,0.945920920416356,2,ok,P12 · Membrane
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,13,P13,Inflammatory response,UP_KW_BIOLOGICAL_PROCESS,1.7380977498037e-4,2.8435689485768414,37,ok,P13 · Inflammatory response
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,14,P14,mmu04080:Neuroactive ligand-receptor interaction,KEGG_PATHWAY,0.01717004731557198,0.7566055514837534,1,ok,P14 · mmu04080:Neuroactive ligand-receptor ...
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,15,P15,plasma membrane,GOTERM_CC_DIRECT,0.00185867011458395,1.6851336951087956,6,ok,P15 · plasma membrane
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,16,P16,COMPBIAS:Low complexity,UP_SEQ_FEATURE,0.14809503187458525,0.6044356808583534,0,ok,P16 · COMPBIAS:Low complexity
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,17,P17,postsynaptic membrane,GOTERM_CC_DIRECT,0.00971740571264651,0.990517591165407,5,ok,P17 · postsynaptic membrane
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,18,P18,COMPBIAS:Polar residues,UP_SEQ_FEATURE,0.00452670290880004,1.6945938307355417,5,ok,P18 · COMPBIAS:Polar residues
AMY,CS20230722_SUPT_0004,0004 IT EP-CLA Glut_2,19,P19,COMPBIAS:Acidic residues,UP_SEQ_FEATURE,0.06251265135392695,0.7295528996795667,0,ok,P19 · COMPBIAS:Acidic residues
AMY,CS20230722_SUPT_0038,0038 L2/3 IT ENT Glut_6,0,P0,cell adhesion,GOTERM_BP_DIRECT,1.8049334268938e-4,2.8401685880149685,44,ok,P0 · cell adhesion
AMY,CS20230722_SUPT_0038,0038 L2/3 IT ENT Glut_6,1,P1,COMPBIAS:Polar residues,UP_SEQ_FEATURE,0.01529704373130666,1.088103146243387,1,ok,P1 · COMPBIAS:Polar residues
AMY,CS20230722_SUPT_0038,0038 L2/3 IT ENT Glut_6,2,P2,Membrane,UP_KW_CELLULAR_COMPONENT,0.153474970116306,0.6569303036717723,0,ok,P2 · Membrane
