tissue,supertype_name,supertype_label,program_id,n_wildr_samples,mean_h,sd_h,same_sign
AMY,0338 MEA-BST Sox6 Gaba_2,CS20230722_SUPT_0338,P10,6,-0.5466744187820425,0.16436670825744124,TRUE
HYP,0556 ARH-PVp Tbx3 Glut_3,CS20230722_SUPT_0556,P1,6,0.4756647086166879,0.20039347727543216,TRUE
AMY,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,CS20230722_SUPT_0355,P5,6,-0.47405823462522173,0.19372604456099884,TRUE
HYP,0473 DMH-LHA Gsx1 Gaba_4,CS20230722_SUPT_0473,P14,6,0.4611809228755136,0.2924116576740121,TRUE
HYP,1181 COP NN_1,CS20230722_SUPT_1181,P1,6,0.4493157453395998,0.164560525435921,TRUE
HYP,0591 PH-ant-LHA Otp Bsx Glut_1,CS20230722_SUPT_0591,P18,6,0.4473979169811284,0.2618164854124015,TRUE
HYP,0481 TMd-DMH Foxd2 Gaba_1,CS20230722_SUPT_0481,P15,6,0.443013375349751,0.18610394904084038,TRUE
HYP,0594 PH-ant-LHA Otp Bsx Glut_4,CS20230722_SUPT_0594,P6,6,0.42696258274562054,0.3388093289515118,TRUE
HYP,0556 ARH-PVp Tbx3 Glut_3,CS20230722_SUPT_0556,P9,6,0.40932800313665707,0.2431602987011076,TRUE
AMY,0194 RHP-COA Ndnf Gaba_2,CS20230722_SUPT_0194,P13,6,0.40028131488799334,0.2709889731335764,TRUE
AMY,0359 MEA-BST Lhx6 Nfib Gaba_3,CS20230722_SUPT_0359,P6,6,-0.40022819199606674,0.2260242147846581,TRUE
HYP,0597 PH-ant-LHA Otp Bsx Glut_7,CS20230722_SUPT_0597,P1,6,0.3982354023721127,0.285853556370322,TRUE
AMY,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,CS20230722_SUPT_0355,P7,6,0.38607429398933507,0.18718196370713777,TRUE
HYP,0581 AHN-RCH-LHA Otp Fezf1 Glut_3,CS20230722_SUPT_0581,P9,6,-0.38584447985077197,0.18247584690644233,TRUE
AMY,0174 Vip Gaba_2,CS20230722_SUPT_0174,P7,6,0.382313091223879,0.20664052201213742,TRUE
AMY,0001 CLA-EPd-CTX Car3 Glut_1,CS20230722_SUPT_0001,P0,6,-0.38084251493270915,0.0920274224672251,TRUE
AMY,0173 Vip Gaba_1,CS20230722_SUPT_0173,P0,6,-0.3787025189273488,0.12369421144538822,TRUE
AMY,1184 MOL NN_4,CS20230722_SUPT_1184,P15,6,-0.3755821755844074,0.16620028889095212,TRUE
AMY,0368 CEA-BST Six3 Cyp26b1 Gaba_2,CS20230722_SUPT_0368,P5,6,-0.37405588271733375,0.2672417716909337,TRUE
AMY,0174 Vip Gaba_2,CS20230722_SUPT_0174,P18,6,0.3718164067955736,0.21018718423375002,TRUE
HYP,0564 VMH Fezf1 Glut_2,CS20230722_SUPT_0564,P16,6,0.3682739997514835,0.28949946095004436,TRUE
HYP,0588 PVH-SO-PVa Otp Glut_4,CS20230722_SUPT_0588,P19,6,0.36782704040183034,0.16480545899663782,TRUE
HYP,0568 VMH Nr5a1 Glut_3,CS20230722_SUPT_0568,P14,6,0.3464135278051223,0.16662481751723898,TRUE
HYP,0495 ARH-PVp Tbx3 Gaba_3,CS20230722_SUPT_0495,P0,6,0.34469293324344075,0.16938515189503014,TRUE
HYP,0569 VMH Nr5a1 Glut_4,CS20230722_SUPT_0569,P12,6,0.3384500817414576,0.26112882315771474,TRUE
AMY,0287 STR-PAL Chst9 Gaba_3,CS20230722_SUPT_0287,P12,6,-0.3356716741069403,0.21391623511140867,TRUE
HYP,0473 DMH-LHA Gsx1 Gaba_4,CS20230722_SUPT_0473,P4,6,0.33198065249447367,0.20152717950529883,TRUE
AMY,0338 MEA-BST Sox6 Gaba_2,CS20230722_SUPT_0338,P15,6,0.33096595201339774,0.20900450218944,TRUE
HYP,0353 MEA-BST Lhx6 Sp9 Gaba_7,CS20230722_SUPT_0353,P2,6,0.33059188209310064,0.17672823812038052,TRUE
HYP,1160 Astro-NT NN_2,CS20230722_SUPT_1160,P18,6,-0.32893541000269927,0.2440385999715772,TRUE
