tissue,supertype_name,supertype_label,program_id,n_wildr_samples,mean_h,sd_h,same_sign,top_term,top_category,top_pvalue,n_terms_p05
AMY,0338 MEA-BST Sox6 Gaba_2,CS20230722_SUPT_0338,P10,6,-0.5466744187820425,0.16436670825744124,TRUE,CARBOHYD:N-linked (GlcNAc...) asparagine,UP_SEQ_FEATURE,5.6278671488471e-4,15
HYP,0556 ARH-PVp Tbx3 Glut_3,CS20230722_SUPT_0556,P1,6,0.4756647086166879,0.20039347727543216,TRUE,cell division,GOTERM_BP_DIRECT,0.08847769675552138,0
AMY,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,CS20230722_SUPT_0355,P5,6,-0.47405823462522173,0.19372604456099884,TRUE,COMPBIAS:Low complexity,UP_SEQ_FEATURE,0.00625340440982825,4
HYP,0473 DMH-LHA Gsx1 Gaba_4,CS20230722_SUPT_0473,P14,6,0.4611809228755136,0.2924116576740121,TRUE,glutamatergic synapse,GOTERM_CC_DIRECT,6.256983335037207e-6,47
HYP,1181 COP NN_1,CS20230722_SUPT_1181,P1,6,0.4493157453395998,0.164560525435921,TRUE,cellular_component,GOTERM_CC_DIRECT,0.08429890149580638,0
HYP,0591 PH-ant-LHA Otp Bsx Glut_1,CS20230722_SUPT_0591,P18,6,0.4473979169811284,0.2618164854124015,TRUE,COMPBIAS:Acidic residues,UP_SEQ_FEATURE,0.06286249637739794,0
HYP,0481 TMd-DMH Foxd2 Gaba_1,CS20230722_SUPT_0481,P15,6,0.443013375349751,0.18610394904084038,TRUE,cilium movement,GOTERM_BP_DIRECT,2.9554267690427e-4,12
HYP,0594 PH-ant-LHA Otp Bsx Glut_4,CS20230722_SUPT_0594,P6,6,0.42696258274562054,0.3388093289515118,TRUE,mmu00565:Ether lipid metabolism,KEGG_PATHWAY,0.00143059781504247,6
HYP,0556 ARH-PVp Tbx3 Glut_3,CS20230722_SUPT_0556,P9,6,0.40932800313665707,0.2431602987011076,TRUE,negative regulation of DNA-templated transcription,GOTERM_BP_DIRECT,0.01586700618663823,2
AMY,0194 RHP-COA Ndnf Gaba_2,CS20230722_SUPT_0194,P13,6,0.40028131488799334,0.2709889731335764,TRUE,TOPO_DOM:Extracellular,UP_SEQ_FEATURE,4.5721129112905e-4,16
AMY,0359 MEA-BST Lhx6 Nfib Gaba_3,CS20230722_SUPT_0359,P6,6,-0.40022819199606674,0.2260242147846581,TRUE,signal transduction,GOTERM_BP_DIRECT,0.02741651982195965,3
HYP,0597 PH-ant-LHA Otp Bsx Glut_7,CS20230722_SUPT_0597,P1,6,0.3982354023721127,0.285853556370322,TRUE,CARBOHYD:N-linked (GlcNAc...) asparagine,UP_SEQ_FEATURE,3.075357064607e-4,9
AMY,0355 MEA-BST Lhx6 Nr2e1 Gaba_2,CS20230722_SUPT_0355,P7,6,0.38607429398933507,0.18718196370713777,TRUE,REGION:Disordered,UP_SEQ_FEATURE,0.03351678112590102,1
HYP,0581 AHN-RCH-LHA Otp Fezf1 Glut_3,CS20230722_SUPT_0581,P9,6,-0.38584447985077197,0.18247584690644233,TRUE,COMPBIAS:Acidic residues,UP_SEQ_FEATURE,0.02265864409259813,2
AMY,0174 Vip Gaba_2,CS20230722_SUPT_0174,P7,6,0.382313091223879,0.20664052201213742,TRUE,IPR050752:C2H2-ZF_domain,INTERPRO,0.00159262437818369,13
AMY,0001 CLA-EPd-CTX Car3 Glut_1,CS20230722_SUPT_0001,P0,6,-0.38084251493270915,0.0920274224672251,TRUE,COMPBIAS:Basic and acidic residues,UP_SEQ_FEATURE,8.8431918103546e-4,11
AMY,0173 Vip Gaba_1,CS20230722_SUPT_0173,P0,6,-0.3787025189273488,0.12369421144538822,TRUE,LIPID:S-palmitoyl cysteine,UP_SEQ_FEATURE,0.03460573904582133,1
AMY,1184 MOL NN_4,CS20230722_SUPT_1184,P15,6,-0.3755821755844074,0.16620028889095212,TRUE,Cytoplasm,UP_KW_CELLULAR_COMPONENT,0.15582506098238685,0
AMY,0368 CEA-BST Six3 Cyp26b1 Gaba_2,CS20230722_SUPT_0368,P5,6,-0.37405588271733375,0.2672417716909337,TRUE,DOMAIN:EF-hand,UP_SEQ_FEATURE,4.1076017290348e-4,22
AMY,0174 Vip Gaba_2,CS20230722_SUPT_0174,P18,6,0.3718164067955736,0.21018718423375002,TRUE,basolateral plasma membrane,GOTERM_CC_DIRECT,0.02241492250023772,2
HYP,0564 VMH Fezf1 Glut_2,CS20230722_SUPT_0564,P16,6,0.3682739997514835,0.28949946095004436,TRUE,NA,NA,NA,0
HYP,0588 PVH-SO-PVa Otp Glut_4,CS20230722_SUPT_0588,P19,6,0.36782704040183034,0.16480545899663782,TRUE,transcription corepressor activity,GOTERM_MF_DIRECT,0.00430263789305053,7
HYP,0568 VMH Nr5a1 Glut_3,CS20230722_SUPT_0568,P14,6,0.3464135278051223,0.16662481751723898,TRUE,TOPO_DOM:Extracellular,UP_SEQ_FEATURE,0.00100800910784371,13
