tissue,supertype_label,supertype_name,rank,n_wildr,mean_abs_h,max_abs_h
AMY,CS20230722_SUPT_0174,0174 Vip Gaba_2,140,6,0.30150495030225816,1.0919238018066346
HYP,CS20230722_SUPT_0544,0544 DMH Nkx2-4 Glut_1,64,6,0.2802113581299159,1.113267406574067
AMY,CS20230722_SUPT_0173,0173 Vip Gaba_1,74,6,0.2785935642766676,1.0179736808468112
HYP,CS20230722_SUPT_0445,0445 PVHd-SBPV Six3 Prox1 Gaba_4,85,6,0.2686916135794129,1.130770723319645
HYP,CS20230722_SUPT_0452,0452 AHN-SBPV-PVHd Pdrm12 Gaba_7,49,6,0.26721110932951303,1.093626141551869
AMY,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,78,6,0.26515397240988015,0.9210189313484364
AMY,CS20230722_SUPT_0540,0540 MEA-BST Otp Zic2 Glut_2,112,6,0.26499719427429086,0.9832044858672364
AMY,CS20230722_SUPT_0041,0041 L2/3 IT PIR-ENTl Glut_3,27,6,0.26059835953500404,2.0628142705425505
AMY,CS20230722_SUPT_0371,0371 CEA-BST Six3 Cyp26b1 Gaba_5,87,6,0.2592945239369326,0.856503955885392
HYP,CS20230722_SUPT_0493,0493 ARH-PVp Tbx3 Gaba_1,106,6,0.2551565292919975,0.7722708910337203
HYP,CS20230722_SUPT_0423,0423 BST-MPN Six3 Nrgn Gaba_4,61,6,0.25509026071042845,0.8221633386295839
HYP,CS20230722_SUPT_0556,0556 ARH-PVp Tbx3 Glut_3,19,6,0.2540241537081961,0.8876487978434126
HYP,CS20230722_SUPT_0575,0575 LHA-AHN-PVH Otp Trh Glut_2,105,6,0.2522998511101076,0.7978562659905732
AMY,CS20230722_SUPT_0370,0370 CEA-BST Six3 Cyp26b1 Gaba_4,132,6,0.2504982979945404,1.2189458052042288
HYP,CS20230722_SUPT_0570,0570 VMH Nr5a1 Glut_5,95,6,0.24387566501778157,0.8213378098548502
HYP,CS20230722_SUPT_0353,0353 MEA-BST Lhx6 Sp9 Gaba_7,73,6,0.24295527465152922,1.0039571183783145
HYP,CS20230722_SUPT_0546,0546 MPN-MPO-PVpo Hmx2 Glut_1,122,6,0.24266708314850524,1.0333410107466174
HYP,CS20230722_SUPT_1181,1181 COP NN_1,99,6,0.24159278891932828,0.8194328776388101
AMY,CS20230722_SUPT_0340,0340 MEA-BST Sox6 Gaba_4,135,6,0.24052329897105384,0.9014920843574656
AMY,CS20230722_SUPT_0338,0338 MEA-BST Sox6 Gaba_2,69,6,0.23846368754568378,0.9439637317148885
HYP,CS20230722_SUPT_0473,0473 DMH-LHA Gsx1 Gaba_4,104,6,0.23765326896365152,0.7653608407875345
HYP,CS20230722_SUPT_0597,0597 PH-ant-LHA Otp Bsx Glut_7,103,6,0.23650971765943388,1.205448752989969
